Unnamed: 0,Rank,Company,Symbol,Weight,Price,Change,% Change,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
248,249,Targa Resources Corp.,TRGP,0.0007,159.56,-0.49,(-0.31%),Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2022-10-12,1389170,2005
249,250,Corning Incorporated,GLW,0.0007,45.08,0.03,(0.07%),Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1995-02-27,24741,1851
250,251,"Wec Energy Group, Inc.",WEC,0.0007,107.62,-0.34,(-0.31%),WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,783325,1896
251,252,Ebay Inc,EBAY,0.0007,69.51,-1.05,(-1.49%),eBay Inc.,Consumer Discretionary,Broadline Retail,"San Jose, California",2002-07-22,1065088,1995
252,253,"Equifax, Incorporated",EFX,0.0007,269.91,-1.25,(-0.46%),Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,33185,1899
253,254,"Gartner, Inc.",IT,0.0007,432.5,-4.93,(-1.13%),Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251,1979
254,255,"Dexcom, Inc.",DXCM,0.0007,84.67,-0.67,(-0.79%),Dexcom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,1093557,1999
255,256,Vici Properties Inc.,VICI,0.0007,31.86,0.28,(0.89%),Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",2022-06-08,1705696,2017
256,257,Martin Marietta Materials,MLM,0.0007,541.85,0.29,(0.05%),Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076,1993
257,258,"Rockwell Automation, Inc.",ROK,0.0007,294.8,3.56,(1.22%),Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",2000-03-12,1024478,1903
258,259,Wabtec Inc.,WAB,0.0007,192.62,0.87,(0.45%),Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",2019-02-27,943452,1999 (1869)
259,260,"Nasdaq, Inc.",NDAQ,0.0007,79.21,0.21,(0.27%),"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",2008-10-22,1120193,1971
260,261,Ge Healthcare Technologies Inc.,GEHC,0.0007,69.87,-0.63,(-0.89%),GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",2023-01-04,1932393,1994
261,262,Costar Group Inc,CSGP,0.0007,74.57,-1.28,(-1.69%),CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",2022-09-19,1057352,1987
262,263,Ingersoll Rand Inc.,IR,0.0007,79.32,0.09,(0.11%),Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",2020-03-03,1699150,1859
263,264,Eqt Corp,EQT,0.0007,55.62,2.22,(4.16%),EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2022-10-03,33213,1888
264,265,Lululemon Athletica Inc.,LULU,0.0007,279.77,-2.66,(-0.94%),Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",2023-10-18,1397187,1998
265,266,"Extra Space Storage, Inc.",EXR,0.0007,148.42,0.99,(0.67%),Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",2016-01-19,1289490,1977
266,267,"Delta Air Lines, Inc.",DAL,0.0006,48.34,-0.2,(-0.41%),Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",2013-09-11,27904,1929
267,268,Agilent Technologies Inc.,A,0.0006,106.93,-1.77,(-1.63%),Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872,1999
268,269,Centene Corporation,CNC,0.0006,62.79,0.37,(0.59%),Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739,1984
269,270,Willis Towers Watson Public Limited Companys,WTW,0.0006,309.07,-0.1,(-0.03%),Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",2016-01-05,1140536,2016
270,271,"Monolithic Power Systems, Inc.",MPWR,0.0006,637.77,-2.16,(-0.34%),Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,1280452,1997
271,272,Humana Inc.,HUM,0.0006,249.53,-3.82,(-1.51%),Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071,1961
272,273,"General Mills, Inc.",GIS,0.0006,54.5,-0.21,(-0.38%),General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1957-03-04,40704,1856
273,274,Old Dominion Freight Line,ODFL,0.0006,158.28,-1.84,(-1.15%),Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",2019-12-09,878927,1934
274,275,Dell Technologies Inc.,DELL,0.0006,95.91,-0.31,(-0.32%),Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2024-09-23,1571996,2016
275,276,Xylem Inc,XYL,0.0006,122.85,-0.46,(-0.37%),Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",2011-11-01,1524472,2011
276,277,"Constellation Brands, Inc.",STZ,0.0006,190.07,-1.32,(-0.69%),Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",2005-07-01,16918,1945
277,278,M&t Bank Corp.,MTB,0.0006,177.15,-0.41,(-0.23%),M&T Bank,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270,1856
278,279,Garmin Ltd,GRMN,0.0006,191.43,1.02,(0.54%),Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989
279,280,Ansys Inc,ANSS,0.0006,333.74,-0.71,(-0.21%),Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1013462,1969
280,281,"Avalonbay Communities, Inc.",AVB,0.0006,205.53,1.08,(0.53%),AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",2007-01-10,915912,1978
